Borehole,As,B,Ba,Be,Cd,Co,Cr,Cu,Fe,Hg,Mn,Mo,Pb,Se,Zn,pH,Eh,TDS,Ca,K,Mg,Na,HCO3,Cl,SO4,NO3,F,PO4,TH,TA,TS,SS,COD,BOD,DO,latitude,longitude,altitude,fault,geology
11,0.7,6.6,17.4,0.3,0.3,0.2,0.4,0.5,1.6,4.3,0.2,18,2.1,1.5,0.5,7.6,367,985,234,10,35,112,165,497,120,40,1,0.1,729,135,2317,1332,0.4,1.7,7,28.651337,34.876725,3168,100,granite|alkaline
12,0.8,7,10.8,0.4,0.3,0.2,0.6,0.7,1.3,1,0.2,27,2.7,2.8,0.4,7.6,386,1048,214,5,37,109,140,426,178,38,1,0.1,689,115,2488,1440,1.2,0.5,6.9,28.584441,35.186706,2307,400,granite
13,0.5,7,41.2,0.3,0.1,0.2,0.5,0.5,7.8,0.7,5.2,15,2.9,2.5,6.5,7.5,382,1878,399,6,72,267,165,1065,202,43,1,0.1,1293,135,3463,1585,0.4,1.7,6.8,28.512148,34.957213,1089,1000,gypsum
14,1.2,22.8,16.7,0.4,0.3,0.1,2.1,0.7,0.5,2.1,0.3,12,1.3,2.2,0.9,7.4,380,3028,427,10,133,482,159,1562,298,48,1,0.1,1615,130,4758,1730,0.8,1.7,7.1,28.44827,34.93563,864,700,gypsum
15,2.2,16.4,20.2,0.4,0.3,0.1,0.7,0.6,14.9,0.1,0.7,13,1.7,3,0.4,7.4,378,2583,456,39,96,400,183,1349,350,46,0.9,0.1,1535,150,4253,1670,1,1.9,7.3,28.625897,35.051013,1494,200,volcanic
16,0.4,6.6,43.1,0.5,0.3,0.7,0.7,0.5,2,1.2,0.8,23,2.3,2.3,0.1,7.8,377,1124,262,4,38,109,153,568,92,39,0.9,0.1,812,125,2544,1420,0.4,1.9,7,28.612935,35.218209,2284,100,alkaline|volcanic
17,1,4.9,25.6,0.4,0.3,0.2,0.7,0.6,3.7,0.7,0.3,19,2.4,0.7,1.1,7.8,377,800,246,16,26,64,171,426,120,28,1,0.1,723,140,2122,1322,0.4,2,6.2,28.54015,35.065537,1167,200,gypsum
18,0.3,16.4,77.3,0.3,0.3,0.2,1.3,0.8,0.5,0.1,0.8,12,1.1,0.5,1.2,7.2,389,3080,506,24,27,1816,110,3408,408,47,0.8,0.1,1376,90,4838,1758,1.2,1.6,6.9,29.248557,35.017044,1032,4000,sand
19,0.8,13.2,79.4,0.3,0.3,0.2,0.5,0.6,4.5,28.2,0.1,11,0.1,0.2,2,7.1,394,6703,461,24,29,2661,128,4686,331,46,0.8,0.1,1272,105,8835,2132,1.2,0.4,6.2,29.235329,34.969706,279,5000,sand
20,1.5,16.7,100.8,0.2,0.3,0.2,0.4,0.6,0.6,1.8,0.3,22,0.7,0.2,2.1,7,387,10018,900,29,56,3879,116,7455,302,43,0.8,0.3,2478,95,12722,2704,1.2,1.5,6.9,29.291152,34.977884,403,8000,sand
21,0.9,9.7,44.7,0.4,0.3,0.1,1,0.8,0.6,44.3,0.1,14,1.4,0.4,0.3,7,382,2142,290,20,21,1251,153,1349,1402,45,1,0.1,811,125,3762,1620,1.6,1.8,7.3,29.336922,34.981922,552,8000,sand
22,0.1,12.8,68.5,0.4,0.3,0.1,0.8,0.9,0.7,3.5,0.1,21,2,0.4,3.9,7.1,388,5010,677,21,29,1639,110,3408,465,27,1,0.2,1810,140,6940,1930,1.2,1.1,6.7,29.319727,35.032035,1245,5000,sand
23,0.5,4.4,9.1,0.5,0.3,0.1,1.4,0.6,0.2,10.1,0.1,21,1.9,0.2,3.4,7.6,355,406,239,5,12,207,159,213,612,44,1,0.1,646,130,1698,1292,1.2,1.9,7.3,29.24509,35.185575,2831,100,granite|alkaline
